# quote, author
In three words I can sum up everything I've learned about life: it goes on., Robert Frost
Insanity is doing the same thing over and over again but expecting different results., Narcotics Anonymous
It is better to be hated for what you are than to be loved for what you are not., Andre Gide
It does not do to dwell on dream and forget to live., Albus Dumbledore
Insight is not a lightbulb that goes off inside our heads. It is a flickering candle that can easily be snuffed out., Malcolm Gladwell
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle., Albert Einstein
Life is what happens to us while we are making other plans, Allen Saunders
You didn’t come into this world. You came out of it like a wave from the ocean. You are not a stranger here., Alan Watts
There will always be suffering. But we must not suffer over the suffering., Alan Watts
Meditation is the discovery that the point of life is always arrived at in the immediate moment., Alan Watts
Very little is needed to make a happy life; it is all within yourself - in your way of thinking., Alan Watts
Do one thing every day that scares you., Eleanor Roosevelt
Truth is powerful and it prevails., Sojourner Truth
Either I will find a way or I will make one., Philip Sidney
Joy is what happens to us when we allow ourselves to recognize how good things really are., Marianne Williamson
To hell with circumstances; I create opportunities., Bruce Lee
I have no special talent. I am only passionately curious., Albert Einstein
We cannot hold a torch to light another's path without brightening our own., Ben Sweetland
Never mistake motion for action., Ernest Hemingway
The best way to predict your future is to create it., Peter Drucker
The cosmos is neither moral or immoral; only people are. He who would move the world must first move himself., Edward Ericson
There are no limitations to the mind except those we acknowledge., Napoleon Hill
I can't believe that God put us on this earth to be ordinary., Lou Holtz
Almost everything comes from nothing., Henri Amiel
Better than a thousand hollow words is one word that brings peace., Buddha
A person who never made a mistake never tried anything new., Albert Einstein
Happiness does not come about only due to external circumstances; it mainly derives from inner attitudes., Dalai Lama
Love is the master key that opens the gates of happiness., Oliver Wendell Holmes
Be yourself; everyone else is already taken., Oscar Wilde
You must do the things you think you cannot do., Eleanor Roosevelt
We read the world wrong and say that it deceives us., Rabindranath Tagore
What is a weed? A plant whose virtues have not yet been discovered., Ralph Waldo Emerson
Truth is generally the best vindication against slander., Abraham Lincoln
An idea that is developed and put into action is more important than an idea that exists only as an idea., Buddha
To climb steep hills requires a slow pace at first., William Shakespeare
Be the change that you want to see in the world., Mohandas Gandhi
We have committed the Golden Rule to memory; let us now commit it to life., Edwin Markham
Give thanks for a little and you will find a lot., Hausa
Let yourself be silently drawn by the stronger pull of what you really love., Rumi
Wrinkles should merely indicate where smiles have been., Mark Twain
I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on man unless they act., G.K. Chesterton
Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love., Lao Tzu
Be a good listener. Your ears will never get you in trouble., Frank Tyger
Things do not change; we change., Henry David Thoreau
The important thing is this: to be able at any moment to sacrifice what we are for what we could become., Charles Dubois
The only real mistake is the one from which we learn nothing., John Powell
Things that were hard to bear are sweet to remember., Seneca
We've got to have a dream if we are going to make a dream come true., Walt Disney
Compassion and happiness are not a sign of weakness but a sign of strength., Dalai Lama
Great ideas often receive violent opposition from mediocre minds., Albert Einstein
A jug fills drop by drop., Buddha
The wisest men follow their own direction., Euripides
All the flowers of all the tomorrows are in the seeds of today., Ancient Proverb
The power of intuitive understanding will protect you from harm until the end of your days., Laozi
No one has ever become poor by giving., Anne Frank
Yesterdays home runs don't win today's games., Babe Ruth
Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us: We taste only sacredness., Rumi
